docid	prececl
23549581	0.666666666667	0.642857142857
11401641	0	0
22744141	0.0	0
20739054	1.0	0.0909090909091
16427787	0.0	0
24350813	0.849029982363	0.526315789474
21211686	0.880658436214	0.43984962406
24960665	0.571428571429	0.25
7844976	0.0	0
2188766	1.0	0.333333333333
24726342	0	0
23103798	0.875	0.285714285714
25931290	0.925	1.0
18503531	1.0	0.12
8989009	0.333333333333	0.333333333333
15133359	1.0	0.375
23838728	0.0	0
11454878	0.96	0.346153846154
18077611	1.0	0.196428571429
25950425	0.614583333333	0.5
21491990	0.392857142857	0.25
14739125	0.666666666667	0.166666666667
3067745	0.0	0
21982657	0.785714285714	0.65
14763035	1.0	0.393548387097
8726604	0.666666666667	1.0
20226474	0.666666666667	0.333333333333
11737955	0.833333333333	0.291666666667
10934569	0.0	0
21924760	0.928571428571	0.307692307692
10475150	1.0	0.166666666667
20147856	0.916666666667	0.31746031746
10589810	0.663043478261	0.75
2088233	0.0	0
10940525	0.611111111111	0.571428571429
18337284	0.333333333333	0.25
19727232	0.5	0.266666666667
20804366	0.0	0
23114870	1.0	0.0884615384615
19802506	0.428571428571	0.1875
25886492	0	0
19376304	0.727272727273	1.0
21914768	0.0	0
15358868	1.0	0.25
21393467	0.0	0
20509069	0.803571428571	0.75
11229858	0.875	1.0
16505427	1.0	0.5
4919024	0.0	0
22865017	0.95	0.375
10763172	0.0	0
18783504	0.333333333333	0.814814814815
25898782	0.572222222222	0.6
11495215	1.0	0.345454545455
18773733	0.0	0
23985254	0.5	0.25
7808649	1.0	0.4
24989854	0	0
22154769	1.0	0.232620320856
7853069	0.5	0.315789473684
1968178	0.790476190476	0.428571428571
12709693	0.8	0.672727272727
23849147	0.0	0
23021296	0.0	0
22881991	0.416666666667	0.333333333333
25479285	0.0	0
9394106	1.0	0.5
23356250	1.0	0.125
1669598	0.5	0.166666666667
10578479	1.0	0.897058823529
15014018	0	0
16295154	0.0	0
3074300	0.5	1.0
9816035	0.244588744589	0.833333333333
18845996	0	0
19159999	0.5	1.0
8519720	0.360294117647	0.34693877551
1286547	0.5	0.314285714286
26210844	1.0	0.166666666667
8913901	0.0	0
6421395	0.732142857143	0.666666666667
9695300	0.95	0.305882352941
16167234	0.895238095238	0.6
1963383	1.0	0.517857142857
2908133	0.333333333333	0.166666666667
12595499	0	0
22956006	0.739761904762	0.545454545455
9481998	1.0	0.10119047619
21718094	0.5	0.25
11891832	0.928571428571	0.666666666667
12960652	0	0
2066441	1.0	0.25
17897478	0.888888888889	0.608333333333
22341427	0.666666666667	0.666666666667
18544974	0.933333333333	0.25
384815	0.9	1.0
20943715	0.0	0
24080592	0.5	0.25
14679127	0.475	0.5
25784723	0	0
25068497	0.0	0
17321989	0.0	0
21975269	0.0	0
25885649	0.285714285714	0.153846153846
24803369	0.0	0
15193668	0	0
20560622	1.0	0.4
8916620	0.0	0
19108790	0.944444444444	0.375
19708562	0.0	0
22271197	1.0	0.392857142857
22538329	0.928571428571	0.181818181818
2678230	0	0
3534803	0.0	0
21106663	0	0
25369243	1.0	0.138736263736
17293018	0.0	0
6938020	1.0	1.0
12576806	1.0	0.0833333333333
11381289	1.0	0.279411764706
12477021	0.0	0
24515505	1.0	0.08
9730996	0.5	0.142857142857
21866656	0.574074074074	0.875
19301724	0.333333333333	0.666666666667
7827398	0.0	0
8779382	0.0	0
1131298	1.0	0.202898550725
11750293	0.0	0
2223363	1.0	0.4
9573502	0.818181818182	0.5
1780092	0.5	0.5
15848261	1.0	0.2
23417625	0.48	0.675
17616069	0.375	0.333333333333
18958161	0.0	0
10764172	0.714285714286	0.375
12139812	0.0	0
6989377	0.190476190476	0.166666666667
3081600	0.922222222222	0.625
8771302	1.0	0.166666666667
2803397	0.09375	0.111111111111
26278470	0.894736842105	0.4
19096921	0	0
7598243	0	0
21896676	0	0
22897461	0.638888888889	0.5
10752495	0.75	0.166666666667
23392542	0.942307692308	0.2
9229602	0.0	0
15854186	0	0
22435114	1.0	0.2
6920252	1.0	0.2
7017018	0	0
3919804	0.785714285714	0.4
16055807	0.0	0
10390665	1.0	0.114285714286
10070173	0.527777777778	0.666666666667
12586799	0.331428571429	0.333333333333
18975051	0.401785714286	0.4
22416755	1.0	0.5
21029638	0.333333333333	0.1
6951573	0.0	0
1459268	0.5	0.5
11642083	0.904761904762	0.321428571429
24451919	0.0	0
7831628	0.0	0
24317958	0.0	0
8911222	1.0	0.494117647059
8911223	0.694444444444	0.428571428571
20618920	0.0	0
18189160	0.775252525253	0.571428571429
11317090	0.6	0.197691197691
7707420	0.0	0
21669557	0.95	0.25
22420121	0.0882352941176	0.333333333333
6418441	1.0	0.2
18229990	0.0	0
22646975	1.0	0.299340659341
23357440	0.0	0
7814711	0.444444444444	0.5
24660757	0.0	0
361799	0.0	0
21170734	1.0	0.5
24075141	0.0	0
10912743	1.0	0.357142857143
20189026	0.285714285714	0.142857142857
15858959	0.915789473684	0.616666666667
11829043	0.783333333333	0.403100775194
11099086	0.75	0.25
2224060	0.0	0
mean	0.499179407295	0.27207573841
mean_2	0.7507343842	0.409184771939
percent	66.4921465969
