docid	prececl
23549581	0.657142857143	0.333333333333
11401641	0.45	0.346153846154
22744141	0.944444444444	0.666666666667
20739054	0	0
16427787	0.0	0
24350813	0.805555555556	0.75
21211686	0.807692307692	0.5
24960665	0.0	0
7844976	0.0	0
2188766	0.5	0.944444444444
24726342	0.0	0
23103798	0.0	0
25931290	0.742914979757	0.80701754386
18503531	1.0	0.962962962963
8989009	0.8	0.5
15133359	0.818181818182	0.875
23838728	0	0
11454878	0	0
18077611	0.0	0
25950425	0.666666666667	0.5
21491990	1.0	0.357142857143
14739125	0.0	0
3067745	0.5	0.916666666667
21982657	0.944444444444	0.5
14763035	0.8	0.713804713805
8726604	1.0	0.272727272727
20226474	0.0	0
11737955	1.0	0.333333333333
10934569	0.3807997558	0.964285714286
21924760	0.666666666667	0.230769230769
10475150	1.0	0.423076923077
20147856	0.659090909091	0.64880952381
10589810	0.0	0
2088233	0.0	0
10940525	0	0
18337284	0.0	0
19727232	0.0	0
20804366	1.0	0.333333333333
23114870	0	0
19802506	0.666666666667	1.0
25886492	0.0	0
19376304	1.0	0.5
21914768	0.0	0
15358868	0.714285714286	0.5
21393467	0.0	0
20509069	0.0	0
11229858	0.0	0
16505427	0.557471264368	0.666666666667
4919024	0.0	0
22865017	0.833333333333	0.666666666667
10763172	0.0	0
18783504	0.0	0
25898782	0.0	0
11495215	0.0	0
18773733	0.0	0
23985254	0.5	0.3875
7808649	1.0	0.333333333333
24989854	0.525793650794	0.775
22154769	1.0	0.388888888889
7853069	0.0	0
1968178	0.0	0
12709693	0.0	0
23849147	0.0	0
23021296	1.0	0.333333333333
22881991	0.654761904762	0.5
25479285	0.0	0
9394106	0.857142857143	0.666666666667
23356250	0.0	0
1669598	0.0	0
10578479	0.0	0
15014018	0.6	0.3
16295154	0.875	0.366666666667
3074300	0.0	0
9816035	0	0
18845996	0.833333333333	0.5
19159999	0.0	0
8519720	0.9	0.230769230769
1286547	0.966666666667	1.0
26210844	0.728070175439	0.347222222222
8913901	0.411764705882	0.5
6421395	0.3	0.333333333333
9695300	0.947368421053	0.620689655172
16167234	0.875	0.25
1963383	0.692307692308	0.3
2908133	0.625	0.5
12595499	0.0	0
22956006	1.0	0.444444444444
9481998	0.0	0
21718094	0.928571428571	0.309523809524
11891832	0.0	0
12960652	1.0	0.479166666667
2066441	0.888888888889	0.95
17897478	0.833333333333	0.5
22341427	0	0
18544974	1.0	0.5
384815	0.888888888889	0.296296296296
20943715	1.0	0.333333333333
24080592	0.0	0
14679127	1.0	0.274509803922
25784723	0.0	0
25068497	0.0	0
17321989	0.441176470588	0.375
21975269	0.0	0
25885649	1.0	0.89605734767
24803369	1.0	0.710858585859
15193668	0.0	0
20560622	0.0	0
8916620	0.0	0
19108790	0	0
19708562	0.928571428571	0.5
22271197	0.0	0
22538329	1.0	0.163636363636
2678230	1.0	1.0
3534803	0.621710526316	0.95652173913
21106663	0.0	0
25369243	0.833333333333	0.666666666667
17293018	0.0	0
6938020	1.0	0.5
12576806	0.0	0
11381289	0.0	0
12477021	0.0	0
24515505	0.318376068376	1.0
9730996	0.875	0.5
21866656	0	0
19301724	0.454545454545	0.8
7827398	1.0	0.0381355932203
8779382	0.0	0
1131298	0.0	0
11750293	1.0	0.470588235294
2223363	0.0	0
9573502	0.0	0
1780092	0.0	0
15848261	1.0	0.333333333333
23417625	0.428571428571	0.5
17616069	0.0	0
18958161	0.423076923077	1.0
10764172	1.0	0.5
12139812	0.379310344828	1.0
6989377	1.0	0.5
3081600	0.0	0
8771302	0.0	0
2803397	0	0
26278470	0.487234042553	1.0
19096921	1.0	1.0
7598243	0.5	0.705882352941
21896676	1.0	0.806451612903
22897461	0.0	0
10752495	0.944444444444	0.62962962963
23392542	0.386645962733	1.0
9229602	0.0	0
15854186	0.0	0
22435114	0.416666666667	0.716666666667
6920252	0.0	0
7017018	0.0	0
3919804	0.5	0.5
16055807	0.0	0
10390665	0.933333333333	0.333333333333
10070173	1.0	0.666666666667
12586799	0.75	0.333333333333
18975051	0.0	0
22416755	0.0	0
21029638	0.0	0
6951573	0.611111111111	0.916666666667
1459268	1.0	0.636363636364
11642083	0.0	0
24451919	0.5	0.952380952381
7831628	0	0
24317958	1.0	0.4
8911222	0.75	0.791698595147
8911223	0.666666666667	1.0
20618920	0.4375	0.4375
18189160	1.0	1.0
11317090	0.0	0
7707420	0.785714285714	0.454545454545
21669557	0.0	0
22420121	0.91369047619	0.552631578947
6418441	0.0	0
18229990	0.676470588235	0.666666666667
22646975	0.0	0
23357440	0.5	0.804347826087
7814711	0.0	0
24660757	0.0	0
361799	0.0	0
21170734	0.0	0
24075141	0.666666666667	0.666666666667
10912743	0.725	0.333333333333
20189026	0.850427350427	1.0
15858959	0.0	0
11829043	1.0	0.4375
11099086	0.787878787879	0.40625
2224060	1.0	0.333333333333
mean	0.425342260167	0.318461704475
mean_2	0.781157420115	0.584867168795
percent	54.4502617801
