docid	prececl
23549581	0.285714285714	0.6
11401641	0.279365079365	1.0
22744141	0.0	0
20739054	0.0	0
16427787	0.717948717949	0.5
24350813	0	0
21211686	0.428571428571	0.458333333333
24960665	0.0	0
7844976	0.388888888889	0.666666666667
2188766	0.0	0
24726342	0.0	0
23103798	0.0	0
25931290	0.0	0
18503531	0	0
8989009	0.0	0
15133359	0	0
23838728	1.0	1.0
11454878	0.8	0.226890756303
18077611	0.0	0
25950425	0.0	0
21491990	1.0	0.0357142857143
14739125	0.0	0
3067745	0.583333333333	0.666666666667
21982657	0.0	0
14763035	1.0	0.375
8726604	0.333333333333	0.852941176471
20226474	0.0	0
11737955	0.307692307692	0.4
10934569	0.0	0
21924760	0.0	0
10475150	0.282186948854	0.714285714286
20147856	1.0	0.166666666667
10589810	0.0	0
2088233	1.0	0.666666666667
10940525	0.716931216931	0.71875
18337284	0.5	0.285714285714
19727232	0.9375	1.0
20804366	0.462962962963	0.85
23114870	0.0	0
19802506	0.0	0
25886492	0.0	0
19376304	0.0	0
21914768	1.0	0.833333333333
15358868	0.0	0
21393467	0	0
20509069	0.5	0.571428571429
11229858	0.0	0
16505427	0.0	0
4919024	0.0	0
22865017	1.0	0.291666666667
10763172	0.0	0
18783504	0.133333333333	0.1
25898782	0	0
11495215	0.0	0
18773733	0.0	0
23985254	0.318181818182	1.0
7808649	0.333333333333	1.0
24989854	0.0	0
22154769	0.0	0
7853069	0.0	0
1968178	0.0	0
12709693	1.0	0.222222222222
23849147	0.0	0
23021296	0.0	0
22881991	0	0
25479285	0.0	0
9394106	1.0	0.136363636364
23356250	0.0	0
1669598	1.0	0.127272727273
10578479	0	0
15014018	0.0	0
16295154	0.5	0.138888888889
3074300	0	0
9816035	0.5625	0.5
18845996	0.423076923077	0.95
19159999	1.0	0.291666666667
8519720	0.0	0
1286547	0.571428571429	0.666666666667
26210844	0.0	0
8913901	0.0	0
6421395	0.0	0
9695300	0.25	0.2
16167234	1.0	0.0769230769231
1963383	0.857142857143	0.403846153846
2908133	0.0	0
12595499	0.0	0
22956006	0.633116883117	0.5
9481998	0.833333333333	0.333333333333
21718094	0.0	0
11891832	0.0	0
12960652	0.0	0
2066441	1.0	0.271794871795
17897478	1.0	0.425925925926
22341427	0.0	0
18544974	0.9	0.5
384815	0.666666666667	0.2
20943715	0.277777777778	0.666666666667
24080592	1.0	0.333333333333
14679127	0.0	0
25784723	1.0	0.230769230769
25068497	0.833333333333	0.2
17321989	0.555555555556	0.75
21975269	0.0	0
25885649	0.0	0
24803369	0.0	0
15193668	0.0	0
20560622	0.0	0
8916620	0.0	0
19108790	0.637426900585	0.32
19708562	0.0	0
22271197	0.0	0
22538329	0.0	0
2678230	0.0	0
3534803	0.428571428571	0.5
21106663	0.0	0
25369243	0.2	0.333333333333
17293018	0.357142857143	0.365384615385
6938020	0.916666666667	0.55
12576806	0.833333333333	0.333333333333
11381289	0.25	0.333333333333
12477021	0.0	0
24515505	0.0	0
9730996	0.5	0.333333333333
21866656	0.888888888889	0.142857142857
19301724	0.0	0
7827398	0.0	0
8779382	0.0	0
1131298	0.0	0
11750293	0.0	0
2223363	0.0	0
9573502	0.0	0
1780092	0	0
15848261	0.0	0
23417625	0.961538461538	0.2
17616069	0.0	0
18958161	0.0	0
10764172	0.0	0
12139812	0.0	0
6989377	0.611111111111	0.611111111111
3081600	0.666666666667	0.1
8771302	0.0	0
2803397	0.0	0
26278470	1.0	0.2
19096921	1.0	0.5
7598243	0.314285714286	0.857142857143
21896676	0.0	0
22897461	0.964285714286	0.559523809524
10752495	0.0	0
23392542	0.857142857143	0.181818181818
9229602	0.0	0
15854186	0.0	0
22435114	0.833333333333	0.380952380952
6920252	0.166666666667	0.2
7017018	0.0	0
3919804	1.0	1.0
16055807	0.0	0
10390665	0.688888888889	0.714285714286
10070173	0.0	0
12586799	0.0	0
18975051	0.333333333333	0.133333333333
22416755	0.0	0
21029638	0.363636363636	0.4
6951573	0.0	0
1459268	0.0	0
11642083	0.0	0
24451919	0.5	0.666666666667
7831628	0.0	0
24317958	0.0	0
8911222	0.0	0
8911223	0.0	0
20618920	0.0	0
18189160	0	0
11317090	0.0	0
7707420	0.0	0
21669557	0.0	0
22420121	0.0	0
6418441	0.375	0.25
18229990	0.0	0
22646975	0.5	0.0857142857143
23357440	0.333333333333	0.5
7814711	0.75	0.20202020202
24660757	0.0	0
361799	1.0	0.333333333333
21170734	0.0	0
24075141	1.0	0.6
10912743	0	0
20189026	0.0	0
15858959	1.0	0.25
11829043	0.0	0
11099086	0.666666666667	0.166666666667
2224060	0.0	0
mean	0.277859309298	0.185395506936
mean_2	0.671786431341	0.448234706642
percent	41.3612565445
