docid	prececl
23549581	0.75	0.47619047619
11401641	0	0
22744141	0.0	0
20739054	1.0	0.0909090909091
16427787	0.0	0
24350813	0.842857142857	0.526315789474
21211686	0.975308641975	0.137218045113
24960665	0.0	0
7844976	0.0	0
2188766	1.0	0.333333333333
24726342	0	0
23103798	0.75	0.142857142857
25931290	0.906060606061	0.928571428571
18503531	0.0	0
8989009	0.266666666667	0.333333333333
15133359	0.0	0
23838728	0.0	0
11454878	0.96	0.326923076923
18077611	0.8	0.196428571429
25950425	0.614583333333	0.5
21491990	0.366666666667	0.25
14739125	1.0	0.0833333333333
3067745	0.0	0
21982657	0.7	0.5
14763035	0.5	0.4
8726604	0.666666666667	0.818181818182
20226474	1.0	0.333333333333
11737955	1.0	0.25
10934569	0.0	0
21924760	0.0	0
10475150	1.0	0.333333333333
20147856	0.916666666667	0.31746031746
10589810	0.8	1.0
2088233	1.0	0.2
10940525	1.0	0.285714285714
18337284	0.5	0.25
19727232	0.75	0.458333333333
20804366	1.0	0.172794117647
23114870	0.666666666667	0.0884615384615
19802506	0.488888888889	0.3125
25886492	0	0
19376304	0.727272727273	1.0
21914768	0.0	0
15358868	1.0	0.25
21393467	0.0	0
20509069	0.803571428571	0.75
11229858	1.0	0.5
16505427	1.0	0.5
4919024	0.0	0
22865017	0.95	0.375
10763172	0.0	0
18783504	0.333333333333	0.666666666667
25898782	0.450909090909	0.6
11495215	1.0	0.545454545455
18773733	0.0	0
23985254	0.5	0.25
7808649	1.0	0.4
24989854	0.0	0
22154769	1.0	0.235294117647
7853069	0.5	0.526315789474
1968178	0.681818181818	0.285714285714
12709693	1.0	0.676785714286
23849147	0.0	0
23021296	0.0	0
22881991	0.416666666667	0.333333333333
25479285	0.0	0
9394106	0.916666666667	1.0
23356250	1.0	0.125
1669598	0.454545454545	0.333333333333
10578479	0.8	0.813725490196
15014018	0	0
16295154	0.0	0
3074300	0.5	1.0
9816035	0.307142857143	1.0
18845996	0	0
19159999	1.0	1.0
8519720	0.360294117647	0.34693877551
1286547	0.333333333333	0.2
26210844	1.0	0.166666666667
8913901	0.777777777778	0.125
6421395	0.97619047619	0.666666666667
9695300	0.972222222222	0.4
16167234	0.95	0.4
1963383	1.0	0.517857142857
2908133	0	0
12595499	0.0	0
22956006	0.780952380952	0.454545454545
9481998	1.0	0.10119047619
21718094	0.5	0.5
11891832	1.0	0.611111111111
12960652	0	0
2066441	1.0	0.25
17897478	0.981481481481	0.358333333333
22341427	0.375	0.333333333333
18544974	0.933333333333	0.25
384815	0.9	1.0
20943715	0.0	0
24080592	0.5	0.25
14679127	0.316666666667	0.5
25784723	0	0
25068497	0.0	0
17321989	0.0	0
21975269	0.0	0
25885649	0.275	0.153846153846
24803369	0.0	0
15193668	0	0
20560622	1.0	0.4
8916620	0.0	0
19108790	0.944444444444	0.375
19708562	0.785714285714	0.25
22271197	0.0	0
22538329	0.0	0
2678230	0	0
3534803	0.0	0
21106663	0.5	0.166666666667
25369243	0.9375	0.438736263736
17293018	0.0	0
6938020	0.714285714286	1.0
12576806	0.5	0.0833333333333
11381289	1.0	0.279411764706
12477021	1.0	0.333333333333
24515505	0.0	0
9730996	0.5	0.142857142857
21866656	0.740740740741	0.875
19301724	0.46875	0.666666666667
7827398	0	0
8779382	0.0	0
1131298	1.0	0.202898550725
11750293	0.272727272727	0.5
2223363	1.0	0.4
9573502	0.716666666667	0.428571428571
1780092	0.7	1.0
15848261	1.0	0.4
23417625	0.133333333333	0.25
17616069	0.375	0.333333333333
18958161	0.0	0
10764172	0.952380952381	0.375
12139812	0.0	0
6989377	0.142857142857	0.166666666667
3081600	0.922222222222	0.625
8771302	0.0	0
2803397	0.0833333333333	0.0277777777778
26278470	0.789473684211	0.2
19096921	0	0
7598243	0.5	0.333333333333
21896676	0.666666666667	0.222222222222
22897461	0.766666666667	0.5
10752495	0.0	0
23392542	0.942307692308	0.2
9229602	0.333333333333	0.4375
15854186	0.0	0
22435114	1.0	0.2
6920252	1.0	0.2
7017018	0	0
3919804	0.785714285714	0.4
16055807	0.0	0
10390665	1.0	0.114285714286
10070173	0.527777777778	0.666666666667
12586799	0.414285714286	0.333333333333
18975051	0.401785714286	0.4
22416755	0.0	0
21029638	0.777777777778	0.46038961039
6951573	0.0	0
1459268	0.5	0.5
11642083	1.0	0.4
24451919	0.333333333333	0.111111111111
7831628	0.0	0
24317958	0.0	0
8911222	1.0	0.435294117647
8911223	0.875	0.285714285714
20618920	0.0	0
18189160	0.775252525253	0.571428571429
11317090	0.555555555556	0.531746031746
7707420	0.0	0
21669557	0.964285714286	0.3
22420121	0.0882352941176	0.333333333333
6418441	1.0	0.2
18229990	1.0	0.166666666667
22646975	1.0	0.222417582418
23357440	0.0	0
7814711	0.722222222222	1.0
24660757	0.0	0
361799	0.0	0
21170734	1.0	0.5
24075141	0.0	0
10912743	1.0	0.357142857143
20189026	0.190476190476	0.142857142857
15858959	0.928571428571	0.444444444444
11829043	0.783333333333	0.445736434109
11099086	0.666666666667	0.119047619048
2224060	0.0	0
mean	0.498292606432	0.273573623536
mean_2	0.74354599866	0.40822314137
percent	67.0157068063
